cas_actor1,cas_actor2,cas_actor3,cas_actor4,cas_actor5,cas_actor6,cas_actor7,cas_actor8,cas_actor9,cas_actor10,crew_Director,id
,,,,,,,,,,Alan Mak,24889
Sol Kyung-gu,Han Hyo-joo,Jung Woo-sung,Lee Jun-ho,Simon Yam,Jin Kyung,Lee Dong-Hwi,Byun Yo-han,,,Kim Byung-Seo,204553
Park Yong-woo,Choi Ji-na,Ji Sung,Oh Hyeon-Kyeong,Suk-Won Chang,Cha Seung-won,Yoon Se-ah,Cheon Ho-jin,,,Kim Dae-seung,45089
,,,,,,,,,,Jang Jin,23609
,,,,,,,,,,Longmond Leung Lok-Man,137409
Anthony Michael Hall,Nicole de Boer,Chris Bruno,David Ogden Stiers,Kristen Dalton,Rick Tae,Anna Hagan,John L. Adams,,,Robert Lieberman,352128
,,,,,,,,,,Johnnie To,90147
Kazunari Ninomiya,Etsushi Toyokawa,Honami Suzuki,Katsuhisa Namase,Anne Watanabe,Kiko Mizuhara,Kaname Endô,Masato Hagiwara,Ikuji Nakamura,,Keishi Ohtomo,208429
Shin Ha-kyun,Lee Min-ho,Kim Sang-ho,Jo Eun-Ji,Oh Jung-se,Joo Hyeon,Park Sang-wook,,,,Jo Dong-oh,194872
,,,,,,,,,,Bruce McCulloch,14561
Lee Na-young,Lee Sung-min,Song Kang-ho,Shin Jung-geun,,,,,,,Yoo Ha,116227
Anthony Wong,Richie Ren,Janice Man,Maggie Cheung Hoh-Yee,Lam Lei,Charlie Cho,Candy Lo,,,,Law Wing-cheong,72650
Ryoo Seung-bum,Hwang Jung-min,Choo Ja-hyun,Do-gyung Lee,On Ju-wan,Choi Jin-ho,,,,,Ho Choi,32159
,,,,,,,,,,Byun Young-Joo,108972
,,,,,,,,,,Wuershan,58679
Shawn Hatosy,DJ Qualls,Tom Bower,Nikki Reed,Ann Dowd,,,,,,Zackary Adler,28917
Kim Myung-min,Son Ye-jin,Kim Hae-sook,Kim Joon-bae,Park Sung-woong,,,,,,Lee Sang-gi,24037
,,,,,,,,,,Dennis Law,34777
Kim So-hyun,Park Joo-mi,Kim Myung-min,Uhm Ki-Joon,Lee Byung-joon,Ahn Seo-hyun ,,,,,Woo Min-Ho,50210
Lee Si-young,Uhm Ki-Joon,Hyun Woo,Kwon Hae-hyo,Kim Do-Young,Kim So-hyun,Moon Ga-young,Oh Gwang-rok,Kim Ji-young,,Kim Yong-gyun,204260
,,,,,,,,,,Ken Yip Wing-Kin,25124
Park Bo-young,Joo Won,Ko Won-hee,Kang Byul,,,,,,,Kim Tae-kyung,132957
,,,,,,,,,,Clement Cheng Si-Kit,42380
,,,,,,,,,,Jingle Ma,10265
,,,,,,,,,,Soi Cheang,117506
,,,,,,,,,,Jang Cheol-Soo,199584
,,,,,,,,,,Benny Chan,32164
Aaron Kwok,Janine Chang,Eddie Cheung Siu-Fai,Chen Kuan-Tai,,,,,,,Roy Chow Hin-Yeung,72074
Ji Jin-hee,Lee Jong-hyuk,Yoon Se-ah,Park Byung-eun,,,,,,,Ho-Young Kwon,52441
Jang Tae-seong,Joo Sang-wook,Yang Dong-geun,Lee Tae-Im,Ban Min-jeong,Kim Kwon,,,,,Dong-yeob Shin,257568
Daniel Wu,Louis Koo,Lau Ching-Wan,Michelle Ye Xuan,Kenneth Tsang,Crystal Huang Yi,Wu Fung,Felix Lok Ying-Kwan,Wilfred Lau,,Alan Mak,74639
,,,,,,,,,,Alan Mak,262137
Huang Bo,Kong Jiu,Shaohua Ma,Xu Zheng,Yung Cheung,Shuangbao Wang,Liu Gang,,,,Ning Hao,33106
Han Seok-kyu,Cha Seung-won,Song Young-chang,Lee Byung-joon,Jeong In-gi,Kim Ji-seok,Yoon-tae Kim,Jae-goo Lee,Seong-Gyoo Lim,Byeong-wook Son,Kwak Kyung-taek,49095
Fala Chen,Simon Yam,Andy On,Michael Miu Kiu-Wai,Kenny Wong Tak-Ban,Xing Yu,,,,,Wong Jing,40025
Hideaki Ito,Ai Kato,Ryuta Sato,Riisa Naka,,,,,,,Eiichirō Hasumi,162006
Byeong-chun Kim,Seung-cheol Kim,Kim Seung-woo,Ji-hyeon Kim,Park Joong-hoon,Gong Hyo-jin,Hwang Jung-min,Kim Su-hyeon,,,Min Joon-ki,37502
Lau Ching-Wan,Ekin Cheng,Kelly Lin,Hui Siu-Hung,Lam Suet,Ruby Wong,Ding Yuin-Shan,Gary Mak,Chiu Chi-Shing,,Johnnie To,45303
,,,,,,,,,,George Clooney,4912
Leslie Cheung,Alex Fong Chung-Sun,Ruby Wong,Lindsay Chan Ling-Chi,,,,,,,Law Chi-Leung,127849
,,,,,,,,,,Park Han-jun,45407
Andy Lau,Sammi Cheng,Guo Tao,Gao Yuanyuan,Lo Hoi-Pang,Bonnie Wong Man-Wai,Lam Suet,Philip Keung,Wang Zi-Yi,Lang Yueting,Johnnie To,194523
Olivia Wilde,Luke Wilson,Elisabeth Moss,Kevin Corrigan,Juno Temple,John Leguizamo,Merritt Wever,Giovanni Ribisi,Ty Simpkins,,Reed Morano,328869
,,,,,,,,,,Edet Belzberg,250671
,,,,,,,,,,Colin Hanks,324253
,,,,,,,,,,Rob Letterman,257445
Misty Copeland,Victoria Rowell,Bevy Smith,Deirdre Kelly,,,,,,,Nelson George,334682
Jin Goo,Kim Mu-yeol,Lee Hyun-woo,Lee Wan,Kim Ji-hoon,Lee Chung-a,Kim Dong-hee,,,,Kim Hak-Soon,343843
,,,,,,,,,,Daniel Peddle,340753
Lea Thompson,Michael J. Fox,Christopher Lloyd,Robert Zemeckis,Dan Harmon,Alan Silvestri,Bob Gale,Dean Cundey,Steven Spielberg,,Jason Aron,330127
,,,,,,,,,,Mika Kaurismäki,329829
,,,,,,,,,,Benjamin Dickinson,320146
Alec Su,Ariel Lin,Matt Wu Zhong-Tian,,,,,,,,Yi-chi Lien,254155
Hidetoshi Nishijima,Masatō Ibu,Yoko Maki,Kim Hyo-jin,Manabu Hamada,Yuri Nakamura,Park Hae-joon,,,,Kim Seong-soo,280612
Jang Hee-jin,Jung Kyung-ho,Kim So-yeon,Kim Ye-ryeong,Cho Jin-woong,Kim Hye-seong,,,,,Ki-hyeong Park,40122
Kim Sang-kyung,Kim Sung-kyun,Park Sung-woong,Jo Jae-yoon,Kim Eui-sung,Yoon Seung-ah,Lee Sang-in-I,Joo Ye-rin,Gi Ju-bong,,Son Yong-ho,335640
Korum Ellis,Adam T Perkins,,,,,,,,,Rody Claude,364153
Sienna Guillory,Gianni Capaldi,Enzo Cilenti,Michele Hicks,Sonja Kinski,Heath Freeman,Eric Roberts,Karen Austin,,,Jay Alaimo,157422
Cab Calloway,Ida James,Jeni Le Gon,Virginia Girvin,William Campbell,,,,,,Josh Binney,90800
Hans Matheson,Samantha Barks,Lesley Manville,Sylvester McCoy,James Cosmo,Susan Boyle,Barbara Flynn,John Hannah,Jude Wright,Emily Shewell,John Stephenson,226354
Vincent Lindon,Karine de Mirbeck,Mathieu Schaller,Yves Ory,Xavier Mathieu,Noel Mairot,Catherine Saint-Bonnet,Christophe Rossignon,Soufiane Guerrab,,Stéphane Brizé,329712
Anthony LaPaglia,Julia Blake,Justine Clarke,Mikaela Davies,John Clarke,Henry Nixon,,,,,Matthew Saville,358912
,,,,,,,,,,Christian Keller,264401
,,,,,,,,,,Daniel Auteuil,200645
,,,,,,,,,,Katja von Garnier,233639
,,,,,,,,,,Frank R. Strayer,3936
,,,,,,,,,,Jonathan Schiefer,281826
,,,,,,,,,,Stanley Nelson,113377
Robert Loggia,Jessica Tuck,Ron Silver,Ed Gale,Stan Shaw,Adam Storke,Kelli Williams,CCH Pounder,Lisa Waltz,Cork Hubbert,Ron Silver,19553
,,,,,,,,,,Ineke Houtman,67499
Patrik Almkvist,Jessica Blomkvist,Johannes Brost,Lisa Henni,Patrick Saxe,Amanda Renberg,,,,,Tommy Wiklund,134812
,,,,,,,,,,Janet Tobias,128140
Mitya Borisov,Lev Danilkin,Sergei Debizhev,Tatyana Drubich,,,,,,,Renata Litvinova,141520
,,,,,,,,,,Charlie Chaplin,53416
Paresh Rawal,Annu Kapoor,Naseeruddin Shah,Gippy Grewal,Auritra Ghosh,Alka Kaushal,,,,,Fuwad Khan,335392
,,,,,,,,,,Hrishikesh Mukherjee,21459
,,,,,,,,,,S. Shankar,263471
,,,,,,,,,,Charlie Chaplin,13707
,,,,,,,,,,Alan Smithee,8415
,,,,,,,,,,Charlie Chaplin,2079
Charlie Chaplin,Henry Bergman,Edna Purviance,John Rand,Albert Austin,Wesley Ruggles,Eric Campbell,James T. Kelley,Frank J. Coleman,Charlotte Mineau,Charlie Chaplin,2078
,,,,,,,,,,Catherine Hardwicke,290762
Nathan Stevens,Jasen Wade,Caitlin E.J. Meyer,Mason D. Davis,Joshua Cooper,Paul D. Hunt,,,,,T.C. Christensen,339060
,,,,,,,,,,Lawrence Ah Mon,222832
Keller Wortham,Shari Solanis,Luis Fernandez-Gil,Adrian Quinonez,Marcellina Walker,,,,,,Philippe Diaz,68335
Christopher Lloyd,Sean Astin,Mia Sara,Ethan Embry,Paulie Redding,Sarah Lieving,,,,,Leigh Scott,47761
Peter Stormare,Stella Maeve,Grace Phipps,Keir Gilchrist,Maestro Harrell,,,,,,Paul Solet,306969
,,,,,,,,,,Michael A. Goorjian,51270
,,,,,,,,,,Shaun Monson,345323
,,,,,,,,,,David M. Rosenthal,304372
,,,,,,,,,,Barry Levinson,253414
Lee Grant,Carol Kane,Will Geer,James Olson,William Sherwood,,,,,,Karen Arthur,56132
Olympia Dukakis,Alexandra Eite,Carlin Glynn,Lainie Kazan,Denise Lute,David Margulies,Mary Stuart Masterson,Gary Swanson,Robert Walden,,Peter Masterson,151069
,,,,,,,,,,Peter Masterson,44287
Roy Scheider,Karen Young,Lane Smith,Richard Bradford,Paul Gleason,,,,,,Peter Masterson,84071
Michael Higgins,Lois Holmes,Jean Allison,Doris Fesette,Malcolm Lee Beggs,Craig Kelly,John Harvey,Beatrice Furdeaux,Mary Elizabeth Boylan,John Harvey,Irving Lerner,35128
,,,,,,,,,,Robbie Pickering,218784
Tannishtha Chatterjee,Nicholas Brown,Brett Lee,Supriya Pathak kapur,Arka Das,Maya Sathi,Akash Khurana,,,,Anupam Sharma,354150
Toma Cuzin,Radu Banzaru,Florin Kevorkian,Dan Chiriac,Iulia Ciochina,Cristina Toma,Corneliu Cozmei,Clemence Valleteau,Ciprian Mistreanu,Adrian Purcarescu,Corneliu Porumboiu,334924
Juan Calvo,Estrellita Castro,Miguel Ligero,,,,,,,,Benito Perojo,102901
,,,,,,,,,,,97274
Adriana Solis,Blair Wojcik,Monica Percich,Carlos Foglia,Peter Schlechter,,,,,,Jennifer Harrington,326058
,,,,,,,,,,James Roday,262169
Akira Terao,Eri Fukatsu,Takanari Saito,Ryûsei Saitô,Ruriko Asaoka,,,,,,Takashi Koizumi,89116
,,,,,,,,,,Straw Weisman,363805
,,,,,,,,,,Agustin,322850
,,,,,,,,,,Derick Martini,309919
,,,,,,,,,,Garrett Batty,305044
,,,,,,,,,,Stephen S. Campanelli,346808
,,,,,,,,,,Paul Solet,306964
Katrina Law,Lochlyn Munro,Victoria Pratt,Nick E. Tarabay,Kelly Hu,Jeremy Ratchford,Juliette Beavan,,,,T.J. Scott,361050
,,,,,,,,,,Katsuyuki Motohiro,26130
,,,,,,,,,,Kôzaburô Yoshimura,125232
Gregory Antoine,Terry Braun,Gregory Antoine,Pat Buchanan,,,,,,,Jonathan Halperin,345519
Kim van Kooten,Nick Geest,Joop Keesmaat,Bianca Krijgsman,Ole Kroes,Maas Bronkhuyzen,,,,,Joram Lürsen,106629
Ali Larter,Merrin Dungey,Patrick Fischler,Arjun Gupta,Joe Egender,,,,,,Alistair Legrand,323370
,,,,,,,,,,Radu Jude,319993
Layke Anderson,Benn Northover,Udo Kier,Stephen Fry,Chris McHallem,,,,,,Jean-Claude Schlim,51935
,,,,,,,,,,George Nichols Jr.,64551
,,,,,,,,,,Budd Boetticher,128848
,,,,,,,,,,Budd Boetticher,149895
Roddy McDowall,Laurette Luez,Roland Winters,Edward Norris,Rick Vallin,Douglas Fowley,Nacho Galindo,Ralf Harolde,Dickie Moore,,Budd Boetticher,125666
,,,,,,,,,,Budd Boetticher,30015
Gene Raymond,Noreen Nash,Robert Bice,Martin Kosleck,Mary Meade,Ralf Harolde,Jack Overman,Gene Evans,,,Budd Boetticher,61431
Jim Bannon,Janis Carter,George Macready,Jean Stevens,Joseph Crehan,,,,,,Budd Boetticher,26849
,,,,,,,,,,Curtis Bernhardt,3578
,,,,,,,,,,Curtis Bernhardt,223655
,,,,,,,,,,Busby Berkeley,114081
Catherine Keener,Hafsia Herzi,Ben Kingsley,Vincenzo Amato,Donatella Finocchiaro,,,,,,Mark Jackson,246013
Luc Merenda,Lou Castel,Andrea Franchetti,Marcella Michelangeli,,,,,,,Massimo Pirri,260886
,,,,,,,,,,Werner Herzog,45555
Margo,Tom Neal,J. Carrol Naish,Robert Ryan,Gloria Holden,Donald Douglas,,,,,Edward Dmytryk,176143
,,,,,,,,,,Vincent Sherman,106826
Gianni Garko,Ivan Rassimov,Elisa Montés,Roberto Miali,,,,,,,Mario Siciliano,149180
Ivan Rassimov,Monica Strebel,Kirk Morris,Marcella Michelangeli,Aldo Bufi Landi,Giuseppe Castellano,Youssef Chaban,Paola Natale,Attilio Severini,,Mario Siciliano,146787
Ron Ely,Alberto Dell'Acqua,Uschi Glas,Angelica Ott,,,,,,,Mario Siciliano,151732
,,,,,,,,,,Mario Siciliano,332757
Bryan Rostron,Thomas Kerr,Anthony Freeman,Charles Borromel,Karin Well,Pierluigi Giorgio,,,,,Mario Siciliano,157779
Antonio Marsina,Ketty Nichols,Tony Raccosta,Nazzareno Zamperla,Goffredo Unger,,,,,,Mario Siciliano,167874
,,,,,,,,,,Nick Lyon,362439
Edwige Fenech,Corrado Pani,Richard Conte,John Richardson,Laura Bonaparte,Ettore Manni,Carla Calò,Corrado Gaipa,Bruno Corazzari,Shirley Corrigan,Giuliano Carnimeo,104954
Richard Conte,Audrey Totter,Sam Jaffe,John McIntire,Shepperd Strudwick,Gregg Martell,Phillip Pine,Donald Randolph,Royal Dano,Richard Taber,Ted Tetzlaff,29257
,,,,,,,,,,Ted Tetzlaff,18447
,,,,,,,,,,Elmo Nüganen,321303
William Baldwin,Elizabeth Mitchell,Adam Baldwin,Sofia Milos,,,,,,,Heywood Gould,144580
Johnny de Mol,Rifka Lodeizen,Ruben van der Meer,Pippa Allen,,,,,,,Nicole van Kilsdonk,87022
Cary Elwes,Jon Voight,James Cromwell,Ben Gazzara,Christopher Lee,Giuliano Gemma,Jan Niklas,,,,John Kent Harrison,99708
Josh Lucas,Ayelet Zurer,James Cromwell,Jon Tenney,Casey LaBow,Taylor Nichols,,,,,Chris Eyre,109894
Porntip Papanai,Nopachai Chaiyanam,Wanida Termthanaporn ,Chamanun Wanwinwatsara,,,,,,,Pen-Ek Ratanaruang,50086
Rollin Perry,Seth Cassell,Michelle Penick,Rana Davis,Maurice Constable,Lindsey Ahem,Elina Madison,Christine Nguyen,Victoria De Mare,,Eric Forsberg,21954
,,,,,,,,,,Miguel M. Delgado,41311
,,,,,,,,,,Miguel M. Delgado,40933
,,,,,,,,,,Paul Osborne,59333
Saif Ali Khan,Anand Tiwari,Vir Das,Pooja Gupta,,,,,,,Raj Nidimoru,191562
Nick Giannopoulos,Russell Dykstra,Isla Fisher,Michael Carman,,,,,,,Nick Giannopoulos,146933
Liev Schreiber,,,,,,,,,,Jim Bruce,221800
,,,,,,,,,,Henri Verneuil,72664
,,,,,,,,,,Johannes Roberts,28416
Gijs Naber,Yannick van de Velde,Anniek  Pheifer,Roos Wiltink,,,,,,,Michiel ten Horn,292035
Casper Van Dien,Rick Fox,Catherine Oxenberg,Daniela Ferrera,,,,,,,Sidney J. Furie,172396
Steven Mackintosh,,,,,,,,,,Henry Singer,76040
Matouš Ruml,Pavel Liška,Jiří Lábus,Oldřich Navrátil,Patrik Děrgel,Jiří Maryško,Petr Ctvrtnícek,Zdena Hadrbolcová,Jiří Fero Burda,,Roman Vávra,160106
,,,,,,,,,,Thomas Engel,798
Audrey Tautou,Edouard Baer,Jean-Pierre Marielle,Jackie Berroyer,Noa Bernaoui Savreux,Patrick Ridremont,,,,,Jean-Loup Felicioli,356161
,,,,,,,,,,Thomas Bidegain,336811
,,,,,,,,,,Aleksandr Veledinskiy,62616
,,,,,,,,,,Giedrė Žickytė,364781
Eddie Marsan,George MacKay,Rob Brydon,Niamh Cusack,Richard McCabe,Nicholas Jones,Tristan Sturrock,Tracy-Ann Oberman,,,Tim Whitby,146404
,,,,,,,,,,François Reichenbach,258656
,,,,,,,,,,Chris Marker,284841
,,,,,,,,,,S. Craig Zahler,294963
,,,,,,,,,,Gregory Plotkin,146301
Sunny Singh Nijjar,Sonalli Sehgal,Ishita Sharma,Nushrat Bharucha,,,,,,,,363413
,,,,,,,,,,Wilson Yip,70530
Ed Gildersleeve,Nikki Haddad,Jessi Haddad,Courtney Sanford,Travis Poelle,Anthony Caraday,,,,,Erik Leiser,70656
,,,,,,,,,,Amy Hardie,228221
,,,,,,,,,,Sijie Dai,1899
Ruby Crystal,John Ashley Hamilton,Eartha Robinson,Peter Tompkins,Elizabeth Vreeland,,,,,,Walon Green,218296
,,,,,,,,,,Amando de Ossorio,28068
,,,,,,,,,,Amando de Ossorio,28072
María Kosty,Simón Andreu,Kali Hansa,Loreta Tovar,José Thelman,Bárbara Rey,Jack Taylor,,,,Amando de Ossorio,77642
,,,,,,,,,,Amando de Ossorio,28071
,,,,,,,,,,Amando de Ossorio,131815
,,,,,,,,,,Narciso Ibáñez Serrador,64624
Toni Collette,Robin McLeavy,Rufus Sewell,Ryan Kwanten,David Wenham,Richard Roxburgh,Barry Humphries,Deborah Mailman,Barry Otto,,Deane Taylor,339669
Michael Lonsdale,,,,,,,,,,Peter Krüger,289820
Tara Breathnach,Muireann Bird,Gerard McCarthy,Brian Fortune,Elliot Moriarty,Andy Kellegher,Rosemary Henderson,Michael James Ford,Mark Tankersley,,Martina McGlynn,339312
,,,,,,,,,,Jon M. Chu,266639
,,,,,,,,,,Patricia Riggen,293646
Alba Rohrwacher,Filippo Timi,Toni Bertorelli,Ivan Franěk,Roberto Herlitzka,Pier Giorgio Bellocchio,Lidiya Liberman,Fausto Russo Alesi,,,Marco Bellocchio,314400
Eri Fukatsu,Tadanobu Asano,Yu Aoi,Akira Emoto,Masao Komatsu,,,,,,Kiyoshi Kurosawa,334991
Kerry Fox,Moe Dunford,Catherine Walker,Philip Jackson,,,,,,,Terry McMahon,253273
Annett Renneberg,Simon Böer,,,,,,,,,Igor Zaritzki,48615
Samira Saraya,Doraid Liddawi,Na'ama Shoham,Ziad Bakri,Sarah Adler,,,,,,Shira Geffen,284343
Carol Abney,Stephen Baldwin,Jacob Bonnema,Tricia Helfer,,,,,,,Timothy A. Chey,35724
,,,,,,,,,,Osamu Katayama,93178
Kiichi Nakai,Reiko Takashima,Yuika Motokariya,Shirô Sano,Tomoko Naraoka,Isao Hashizume,,,,,Yoshinari Nishikôri,84094
Richard Riehle,Jason Mewes,Blakely Bunnell,Luke Guldan,,,,,,,Matt L. Lockhart,84942
Helmi Dridi,Vesela Kazakova,Aruna Shields,Simon Paul Sutton,Yavor Veselinov,Sara Malaterre,Ilian Ivanov,Craig Morris,Agie,,Jacques Malaterre,56623
Kenichi Matsuyama,Masaaki Uchino,Yūko Tanaka,Sakura Ando,Takashi Yamanaka,Yoji Tanaka,Ken Mitsuishi,Renji Ishibashi,,,Nao Kubota,264978
Mackenzie Rosman,Shawn C. Phillips,Richard Moll,Jayme Bohn,Eliot Brasseaux,Amy Brassette,Sloane Coe,Robert Aberdeen,,,Griff Furst,216539
Davika Hoorne,Kantaphat Phoemphunphatsuk,วิวัฒน์ คงราศรี,Phongsathon Chongwilat,Nattapong Chartpong,Mario Maurer,,,,,Banjong Pisanthanakun,184219
,,,,,,,,,,Christian Chaudet,257253
,,,,,,,,,,Stefano Sollima,356296
Amy Schumer,,,,,,,,,,Chris Rock,355178
MacLeod Andrews,Evan Dumouchel,Margaret Ying Drake,Mick Casale,Elena Greenlee,,,,,,Perry Blackshear,325302
John Newton,Ed Asner,Alice Evans,Peter Jason,Ben Weber,Lois Nettleton,,,,,Stephen Bridgewater,46526
Caroll Spinney,Jim Henson,,,,,,,,,Jon Stone,49216
James D'Arcy,Natasha Wightman,Terence Stamp,Charlotte Weston,Udo Kier,Liam Cunningham,Ron Moody,Derek Jacobi,Earl Cameron,,Stuart Urban,59095
Christopher Lee,Bela Lugosi,Julian Sands,Guillermo del Toro,Roger Corman,Cornelia Funke,Stephen Hughes,,,,Raul Garcia,329020
Anna Shurochkina,Ivan Okhlobystin,Anna Khilkevich,Aleksandr Uman,Roman Yunusov,Sean Bean,Isabelle Fuhrman,Bella Thorne,,,Aleksey Tsitsilin,292014
,,,,,,,,,,Fabrice Du Welz,285387
,,,,,,,,,,Jon Drever,339362
,,,,,,,,,,Robert Markowitz,2734
Don Johnson,Jeanne Tripplehorn,Sharon Lawrence,John Heard,Arliss Howard,,,,,,,51083
,,,,,,,,,,Paul Hyett,301846
,,,,,,,,,,Andrew Tan,361380
William Hurt,Julia Ormond,Matt Craven,Maury Chaykin,Alan Arkin,Lynn Redgrave,,,,,Lionel Chetwynd,74474
Madolyn Smith Osborne,Tom Berenger,David Keith,Liam Neeson,Jack Weston,Richard Kiley,,,,,Jerry London,58207
Angélica Aragón,Steven Bauer,Kuno Becker,,,,,,,,Jimmy Nickerson,32286
Patricia Velásquez,Mimí Lazo,Danay García,Eloisa Maturen,Arlette Torres,Elba Escobar,Karina Velásquez,Sheila Monterola,,,Fina Torres,288129
Seret Scott,Bill Gunn,Duane Jones,Maritza Rivera,Billie Allen,Gary Bolling,Maureen Grady,Clarence Branch Jr.,Joe Garcia,,Kathleen Collins,273896
Ben Ellison,Matthew Baidoo,Akim Mogaji,John Wilson,Dencil Williams,,,,,,Isaac Julien,32329
Kenneth Anger,Gordon Gray,Bill Seltzer,,,,,,,,Kenneth Anger,44296
Alex Loynaz,Justina Machado,Hale Appleman,DaJuan Johnson,Matt Barr,Judd Winick,Pam Ling,,,,Nick Oceano,75886
Noel Palomaria,Malcolm Moorman,Charles Lanyer,Michael Waite,Paula Kay Perry,,,,,,John Huckert,67810
Robert Lustig,Gary Taubes,,,,,,,,,Michèle Hozer,337473
Knut Agnred,Kerstin Granlund,Peter Rangmar,Anders Eriksson,Per Fritzell,Jan Rippe,Lisa Alvgrim,Claes Eriksson,Håkan Johannesson,Mats Bergman,Claes Eriksson,53689
Nehir Erdoğan,Ilker Kaleli,Tardu Flordun,,,,,,,,Ozan Aciktan,314462
Engin Altan Düzyatan,Berrak Tuzunatac,Can Gürzap,Ayda Aksel,Zeynep Ozder,Tugrul Tulek,Ahu Yagtug,,,,Leyla Yılmaz,77241
Beren Saat,Yavuz Bingöl,Murat Ünalmış,Erkan Petekkaya,,,,,,,Serdar Akar,52183
Mert Fırat,Tuba Ünsal,Kenan Ece,Melis Babadağ,Acelya Devrim Yilhan,,,,,,Özer Kiziltan,239534
Beren Saat,Ugur Yücel,Ayça Bingöl,Turgay Kantürk,Hazar Ergüçlü,,,,,,,236317
Kivanc Tatlitug,Mert Fırat,Belcim Bilgin Erdogan,Yılmaz Erdoğan,Farah Zeynep Abdullah,,,,,,Yılmaz Erdoğan,171160
,,,,,,,,,,Gabriele Muccino,254172
Julianne Hough,Teddy Sears,Madalyn Horcher,Drew Rausch,Penelope Mitchell,Kurt Bryant,,,,,Iain Softley,347754
Vinnie Jones,Ann Magnuson,James Caan,Natasha Lyonne,Ron Jeremy,,,,,,Adam Rifkin,55249
,,,,,,,,,,Richard J. Lewis,47354
,,,,,,,,,,Jocelyn Moorhouse,298382
Tracy Nelson,Michael Riley,Thomas Calabro,,,,,,,,Douglas Jackson,80660
James Remar,Mario Van Peebles,Catherine Mary Stewart,Bruce Boxleitner,Al Sapienza,Victoria De Mare,,,,,Armand Mastroianni,22672
Bill Goldberg,Kurupt,Tony Plana,Jack Conley,Robert Madrid,Morocco Omari,Angell Conwell,,,,Art Camacho,13721
A.J. Cook,Bruce Payne,Ryan Northcott,Emmanuelle Vaugier,Claire Keim,Derek Hamilton,Daniella Evangelista,Kelly Brook,Jürgen Prochnow,,John Eyres,28314
Walt Disney,Pinto Colvig,Clarence Nash,Billy Bletcher,,,,,,,Burt Gillett,32428
Mary Moder,Dorothy Compton,Pinto Colvig,Billy Bletcher,Sara Berner,,,,,,Burt Gillett,109298
Walt Disney,Marcellite Garner,Clarence Nash,,,,,,,,Burt Gillett,132714
Pinto Colvig,Walt Disney,Marcellite Garner,,,,,,,,Burt Gillett,67790
Walt Disney,Pinto Colvig,,,,,,,,,Burt Gillett,81338
Lucille La Verne,Pinto Colvig,,,,,,,,,Burt Gillett,80928
Marion Darlington,Esther Campbell,,,,,,,,,Burt Gillett,106112
Walt Disney,Marcellite Garner,,,,,,,,,Burt Gillett,134360
Billy Bletcher,Pinto Colvig,Alice Ardell,Leone Le Doux,,,,,,,David Hand,109329
Gayne Whitman,Sally Noble,Mary Rosetti,Millie Walters,,,,,,,David Hand,58160
Pinto Colvig,Clarence Nash,Walt Disney,,,,,,,,David Hand,66997
Pinto Colvig,Walt Disney,Clarence Nash,,,,,,,,David Hand,66819
Walt Disney,,,,,,,,,,David Hand,67661
Walt Disney,Clarence Nash,Ned Norton,,,,,,,,David Hand,67113
Lillian Randolph,Marcellite Garner,,,,,,,,,David Hand,67626
Walt Disney,Pinto Colvig,Billy Bletcher,Clarence Nash,,,,,,,David Hand,67162
Billy Bletcher,Clarence Nash,Purv Pullen,Martha Wentworth,Leo Cleary,,,,,,David Hand,109323
Billy Sheets,The Three Rhythm Kings,Marion Darlington,Marcellite Garner,,,,,,,David Hand,54509
Walt Disney,Pinto Colvig,Billy Bletcher,,,,,,,,David Hand,101806
Billy Bletcher,Walt Disney,Marcellite Garner,,,,,,,,David Hand,161836
Jewel Staite,Justin Baldoni,Marc Bacher,Nikki Griffin,Kellan Lutz,Helena Barrett,Mohit Ramchandani,Terry Notary,Rhianna Vigrass,Andrea Esquivel,Jörg Ihle,20432
,,,,,,,,,,Richard Fleischer,120615
Sean Astin,Jodi Benson,Keith Carradine,Bill Fagerbakke,Charles Fleischer,Charity James,Maurice LaMarche,,,,Phil Weinstein,34942
Brendan Michael Coughlin,Patrick Scott Lewis,Katie Lowes,Bill Rampley,,,,,,,Roel Reiné,44224
Adam Roque,Richard Tyson,Angie Everhart,Nicole Badaan,Andrew Chase,Brandon Gibson,Kenyon Dudley,,,,Kevin Tenney,36153
,,,,,,,,,,Robert F. Slatzer,92804
Stefanie Powers,James Olson,Joss Ackland,Margaretta Scott,Jane Lapotaire,Kirsten Lindholm,,,,,Alan Gibson,69058
Barbie Hsu,Guo Tao,Lam Suet,Shi Zhao-Qi,Xiong Xin-Xin,Ding Jia-Li,Purba Rygal,Fang Qing-Zhuo,,,Lin Li-Sheng,115738
Dean Stockwell,Sean Patrick Thomas,Dina Cataldi,Kristen Bush,,,,,,,Colin Theys,271665
,,,,,,,,,,Corey Grant,98557
Yuri Lowenthal,,,,,,,,,,Andrew W. Robinson,129175
Sam Wanamaker,Lea Padovani,Kathleen Ryan,Charles Goldner,Bonar Colleano,William Sylvester,George Pastell,Philo Hauser,Sid James,,Edward Dmytryk,92819
Patty McCormack,Rachel Lemieux,Rachel Lemieux,Brinke Stevens,Michael Cornelison,Majel Barrett,,,,,Max Allan Collins,118427
Alice Cooper,Victoria Vera,Carlos Santurio,Pepa Sarsa,Pepita Full James,Pepita James,Emilio Linder,,,,Claudio Fragasso,87148
